"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_Eup","sd1_Eup","coef2_Eup","sd2_Eup","coef1_KSS","sd1_KSS","coef2_KSS","sd2_KSS"
"1",100,3,1.26529438670828,0.287846427598248,3.20610158301068,0.281461108230723,1.35521796796863,0.144283093460083,3.36222485874466,0.13357532219894,1.18016445547985,0.218587309687181,3.18270817007742,0.226271061576956,1.17540486874659,0.225405655510804,3.17923633452438,0.226253653673519
"2",100,5,1.23083103083913,0.220668575562335,3.24645021021622,0.221186799845478,1.38721191855348,0.109148751551689,3.35964830879052,0.109183355119749,1.16297544267337,0.156197161662256,3.12705165001946,0.163642073858993,1.1509635477119,0.150926432637382,3.11773550378516,0.170297078708217
"3",100,10,1.25974432305138,0.195406157478134,3.20115826687708,0.202882775760706,1.40960224788023,0.0673702861505536,3.41007507240531,0.0557126171918193,1.09428635636484,0.100284004244297,3.08869828901151,0.106184060656894,1.09094099928681,0.0947890849735469,3.08604006393344,0.105334815041994
"4",100,20,1.23314292480231,0.1410699095877,3.23995633800566,0.142766382742322,1.42583326245914,0.0479493509022246,3.43777819155272,0.0545203250964736,1.05589150679584,0.0908039150476581,3.07234805244863,0.090161719469134,1.04945010074948,0.0801315210028223,3.06557542432026,0.0757660134445816
"5",100,50,1.22871737175523,0.0819525645706753,3.23667605797905,0.0810649631867722,1.45724020591039,0.029532071754483,3.46192879917952,0.0303362048830853,1.07002139017885,0.0964913450584824,3.07309071731285,0.0941596221027904,1.05182642812545,0.0668781815444826,3.05468344614394,0.0692803034794185
"6",100,100,1.24980927965154,0.0677476106375614,3.23680539090646,0.0747905146956486,1.47910680654193,0.0209513917292912,3.47624648956623,0.0210469460825077,1.11898385705231,0.132029076764529,3.11644273912932,0.131959749862058,1.05543248464079,0.0891945435801917,3.0528848219216,0.0864133937080583
"7",3,100,1.20283234200615,0.418413905050802,3.23219920975838,0.412768900162592,1.4568059595163,0.131384220599919,3.45075710051908,0.11982000726293,1.20270551120262,0.228836345493716,3.15235013264493,0.251913160778776,1.19095616749478,0.230111068341363,3.13398674405314,0.262954403579861
"8",5,100,1.2148302415593,0.314300323287654,3.22776070752169,0.259012336430257,1.47195992092809,0.0903549665234421,3.46413794600416,0.0845967150858264,1.11096829308561,0.174030629678293,3.09935404744901,0.155911847875458,1.08770804224935,0.175410935480267,3.07629467922436,0.187185483267934
"9",10,100,1.27574702074074,0.254303910688128,3.16185696635468,0.23383339061393,1.47447327534999,0.0581402098601799,3.47678172322113,0.0547443745102218,1.13300037033635,0.148937359472999,3.14031387586552,0.140320412393668,1.09929131736628,0.132326941790701,3.10429776562143,0.117281975833469
"10",20,100,1.23499935520519,0.148158181462842,3.22834662970313,0.149476707620621,1.47711336958676,0.0384581674948219,3.47011838088685,0.0410636805004514,1.08222379061528,0.113837337979432,3.07699466505139,0.105634310125575,1.06364729326692,0.0939621108852145,3.05865984414983,0.0769778696657368
"11",50,100,1.24912259727944,0.0776271526307118,3.24059146684115,0.0902133985504437,1.47632735562973,0.025314400467473,3.47802169157753,0.02459845871099,1.12497853172112,0.138794378194136,3.12598970125544,0.134513716147906,1.05154385012842,0.0720154664750778,3.05332567940574,0.0777920989144433
