"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_IEF","sd1_IEF","coef2_IEF","sd2_IEF"
"1",100,3,2.25184934354229,0.305635649369172,4.21813181991693,0.305131248888191,2.3549065708931,0.14591662778746,4.34502785465849,0.143027084184852,2.17702872024074,0.21973110293478,4.17050604438816,0.223074294586115
"2",100,5,2.2376955581623,0.242985779217292,4.22551205651021,0.246291949658057,2.37762132406469,0.101724805929462,4.37357770633691,0.0948613066210974,2.1403672381295,0.149861221490034,4.136818776248,0.150238622985582
"3",100,10,2.23803493522118,0.16813878328417,4.23105348926243,0.173047991803842,2.40939974272715,0.0645550328053013,4.40489620915798,0.0665833216721838,2.08899616042933,0.103134851569902,4.08509573725311,0.106924939510847
"4",100,20,2.22924040579819,0.130072708958432,4.24540731950711,0.132363521336532,2.43452240359435,0.0475288139740927,4.43487366697886,0.0477715996651036,2.06010110684902,0.0801642253553291,4.06044417136721,0.0827869041319704
"5",100,50,2.23864117950325,0.0878525883077887,4.24139750198103,0.0894742840051306,2.46227675984883,0.0303023154369122,4.462543914326,0.0294511023039357,2.05462365808014,0.0778061817231743,4.05482955831057,0.0761713299932107
"6",100,100,2.24188789922602,0.0727788546533374,4.24349335774447,0.073572816989343,2.47700696266908,0.0210605884957368,4.47875013513474,0.0209136475408692,2.05633714861781,0.098073894539214,4.05814103804229,0.0950173544657949
"7",3,100,2.22415606508958,0.361622783316101,4.18088248065548,0.352875633416007,2.4499037047944,0.120554849786746,4.46168507245874,0.120723785113557,2.13686549034377,0.249072171231422,4.13565222899055,0.240723777497626
"8",5,100,2.22502114878676,0.292249558250628,4.21307613181792,0.299909660509569,2.47055542110748,0.0826959147543616,4.46705815997067,0.0820654823899953,2.12166097209363,0.171668619732132,4.12057210793923,0.170894946373572
"9",10,100,2.2325988095928,0.203335689497629,4.23473649016426,0.209630392504682,2.47371464255901,0.0539029487236809,4.47239732059164,0.0543079242469532,2.08673498631225,0.132698526264761,4.08929456505565,0.131487715447516
"10",20,100,2.24667967299414,0.148671080442949,4.22712840933593,0.146745667299303,2.47734963037548,0.0390814754603475,4.47492528018159,0.0390843682728903,2.06604497059722,0.104346692166158,4.06479702298154,0.10435946296922
"11",50,100,2.24108575119502,0.100619914229108,4.24190669280474,0.0998315281422136,2.47857280105069,0.0251603153137622,4.47810690514499,0.0270290304202544,2.05515462212932,0.0971910512422581,4.05462899881013,0.0976270337932673
